gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used
400000,340000000000 ,4031817,176811
400000,357750000000 ,10719207,238691
400000,344100000000 ,10087437,176691
400000,306207618400 ,9018835,176583
400000,328000100001 ,7930958,176343
400000,350000000000 ,3413916,176211
400000,358000000000 ,10492764,238679
400000,350000000000 ,9269759,176895
400000,332000000000 ,6586187,176655
400000,341000000000 ,3829094,176379
400000,363000000000 ,10502453,171973
400000,280000000000 ,14699687,173354
400000,302000000000 ,2185003,176427
400000,302000000000 ,1316412,176379
400000,278000000000 ,11743923,176751
400000,260000000000 ,7903609,176691
400000,263000000000 ,9141085,176835
400000,245378787139 ,2600887,176619
400000,228850000000 ,3629209,238667
400000,215000000000 ,9369003,176835
400000,208725002003 ,11531798,176391
400000,206000000000 ,8232336,176379
400000,185000000000 ,3895911,176787
400000,174000000000 ,1440470,176175
400000,171005000000 ,8362874,176775
400000,163000000000 ,920218,174867
400000,142000000000 ,3283964,170316
400000,126000000000 ,3531754,176535
400000,111000000000 ,14111940,175059
400000,111000000000 ,12397266,36147
400000,111000000000 ,14312206,176715
400000,114000000000 ,7342216,176331
400000,127000001459 ,8028795,176391
400000,121000000000 ,3437765,176367
400000,180000000000 ,6992183,176331
400000,158000000000 ,1229258,176355
400000,119000000000 ,12926494,176583
400000,130000000000 ,8681969,176679
400000,133000000000 ,4831785,239015
400000,134000000000 ,5340074,173378
400000,125125000000 ,5185187,174867
400000,120750000000 ,13424182,175791
400000,134000000000 ,7589679,176811
400000,148000000000 ,1518915,171841
400000,120000000000 ,1385909,239051
400000,99000000000 ,6619596,176855
400000,112000000000 ,3036794,176319
400000,109000000000 ,4155376,176235
400000,113300000000 ,3768040,176367
400000,112000000000 ,4914344,176367
400000,102300000000 ,5443955,229553
400000,110000000000 ,1371894,176583
400000,110000000000 ,14685615,176379
400000,109000000000 ,6598082,176367
400000,108000000000 ,2747578,176643
400000,100000000000 ,9501570,152844
400000,96000000000 ,7232889,238735
400000,98800000000 ,1710414,174863
400000,89100000000 ,9004942,175487
400000,93000000000 ,10743726,176387
400000,103000000000 ,6721456,176355
400000,106000000000 ,9222157,176367
400000,123530000000 ,7136876,176343
400000,132000000000 ,8161400,176547
400000,122760000000 ,9225142,176391
400000,123000000000 ,13324667,176343
400000,118000000000 ,7511947,176751
400000,115000000000 ,1969713,176391
400000,126500000000 ,5759901,176763
400000,126500000000 ,6014290,176403
400000,127000000000 ,12635538,176355
400000,125000000000 ,6550203,238955
400000,130000000000 ,4928102,176571
400000,128000001561 ,6498343,176331
400000,122000000000 ,6628901,176379
400000,129000000000 ,9914033,176391
400000,129000000000 ,1931760,176607
400000,129000000000 ,5179987,176811
400000,129000000000 ,1078241,176907
400000,133000000000 ,6588056,176297
400000,124000000000 ,7026390,175791
400000,125000000000 ,2041369,176163
400000,129000000000 ,10581111,176475
400000,112756247320 ,10439194,176571
400000,112000000000 ,10241322,176391
400000,112000000000 ,1205624,176427
400000,111000000000 ,13966792,176211
400000,115000000000 ,9605910,176355
400000,115000000000 ,9831086,35967
400000,117000000000 ,6427547,176859
400000,117000000000 ,6250688,176379
400000,103230000000 ,10598371,176571
400000,106000000000 ,2835928,176379
400000,123910714286 ,1768402,176775
400000,106000000000 ,6363226,176559
400000,103000000000 ,3633613,176787
400000,85010000000 ,5836162,176435
400000,100000000000 ,9292101,176679
400000,102000000000 ,3824373,173378
400000,102000000000 ,8131544,176631
400000,92400000000 ,6939819,176363
400000,126000000000 ,2245329,176367
400000,91960000256 ,12347518,176579
400000,120000000001 ,5533123,176379
400000,121000000000 ,3774809,238631
400000,111250000000 ,4071538,176655
400000,98700000000 ,7231063,176927
400000,104000000000 ,4410777,173390
400000,130000000000 ,3658517,176331
400000,127000000000 ,3610998,173558
400000,143571428572 ,12228132,170640
400000,143000000000 ,10343655,173366
400000,143010000000 ,1520810,35783
400000,152900000000 ,14611374,239015
400000,112110000000 ,12369510,176895
400000,192000000000 ,3697440,176403
400000,140000000000 ,5423104,36159
400000,183000000000 ,5481585,176691
400000,200000000000 ,5433443,176343
400000,220000000000 ,3266041,176415
400000,181500000000 ,2138480,176415
400000,286000000000 ,1411084,176379
400000,287300000000 ,12798826,176583
400000,291000000000 ,11736767,176391
400000,291000000000 ,6737570,173198
400000,297000000000 ,6329212,176691
400000,289300000000 ,11118793,36339
400000,289300000000 ,5532967,36171
400000,289300000000 ,5709358,176391
400000,296000000000 ,1628059,238715
400000,292000000000 ,11991994,170340
400000,291000000000 ,6793485,176991
400000,271200000000 ,9725200,175119
400000,299000000000 ,3426207,36483
400000,296000000000 ,7780012,176379
