gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used
500000,184450000000 ,12514216,176403
500000,302000000000 ,11250879,173342
500000,308000000000 ,2127237,173342
500000,355000000000 ,4386669,176391
500000,356000000000 ,1897819,176871
500000,365000000000 ,5841016,176895
500000,361000000000 ,8123896,176523
500000,366000000000 ,6857659,35985
500000,368000000000 ,3960071,176907
500000,350000000000 ,4377969,176835
500000,337000000000 ,7975038,176931
500000,332000000000 ,8394596,176883
500000,326000000000 ,8162799,176391
500000,315000000000 ,8211637,152844
500000,314000000000 ,13376595,176969
500000,303000000000 ,1642893,174891
500000,301070000000 ,8268356,176595
500000,300000000000 ,6155963,176595
500000,304000000000 ,3785804,175287
500000,301000000000 ,5451563,176835
500000,362500000000 ,610041,176631
500000,266400000000 ,3150539,176343
500000,264000000000 ,8072476,176607
500000,263000001561 ,7897294,176355
500000,255000000000 ,8380818,173378
500000,250000000000 ,11676591,176379
500000,247000000000 ,4383415,176187
500000,247000000000 ,3997043,175311
500000,246000000000 ,8179830,176415
500000,235500000000 ,10607085,176907
500000,233000000000 ,10430178,176403
500000,250000000000 ,6304957,176355
500000,243000000000 ,5632928,174843
500000,244000000000 ,2352259,177053
500000,223000000000 ,3774106,173354
500000,220000000000 ,1863916,176895
500000,197000000000 ,3956544,176391
500000,174200000000 ,8450292,176607
500000,133000000000 ,4752006,176895
500000,127000000000 ,3334582,176763
500000,122000001561 ,12143101,176847
500000,118000000000 ,3580592,176367
500000,114000000000 ,4522727,176403
500000,113000000000 ,7798394,176871
500000,111000000000 ,4343223,176511
500000,125000000000 ,7727838,176379
500000,74000000000 ,9169289,176375
500000,77000000000 ,3087913,176375
500000,84010500000 ,9545290,176879
500000,100000000000 ,13132935,176981
500000,110000000000 ,6143392,176367
500000,108000000000 ,1431149,176391
500000,115880000000 ,3322524,176835
500000,130515000000 ,7044334,231390
500000,143100000000 ,13681838,238691
500000,126000000000 ,11764594,175347
500000,116000000000 ,10661228,176355
500000,110000000000 ,5311704,176535
500000,118750000000 ,593174,177039
500000,88000000000 ,4303938,175319
500000,86000000000 ,9330438,175823
500000,68000000000 ,5478352,176953
500000,56000000000 ,3577332,176989
500000,55000000000 ,4280262,174863
500000,55000000000 ,8252463,176843
500000,53000000000 ,13965033,169208
500000,53000000000 ,177023,177023
500000,67000000000 ,4207567,176567
500000,66000000000 ,4098180,176639
500000,67000000000 ,1689585,176627
500000,64000000000 ,12380018,238723
500000,78750000000 ,553161,36171
500000,60000000000 ,1795799,176867
500000,59000000000 ,11006316,176603
500000,53000000000 ,9228602,238987
500000,48400000000 ,2739164,176615
500000,53000000000 ,239375,176375
500000,53000000000 ,3139182,176363
500000,53000000000 ,3833124,176375
500000,61000000000 ,5135640,175811
500000,61000000000 ,9695327,176411
500000,60916800000 ,2118855,176795
500000,60500000000 ,8056786,175055
500000,59000000000 ,7426057,235637
500000,55000000000 ,7218860,176831
500000,52000000000 ,12112022,177095
500000,52000000000 ,7051889,176375
500000,51000000000 ,5108939,176977
500000,62000000000 ,5390154,176423
500000,66000000000 ,8853698,177059
500000,66000000000 ,5617890,174875
500000,61000000000 ,9053272,176831
500000,76000000000 ,1146244,176363
500000,76000000000 ,7059883,176387
500000,71300000000 ,5482342,176843
500000,86000000000 ,4093357,176363
500000,77000000000 ,6479485,35571
500000,76000000000 ,9257099,176855
500000,77000000000 ,9666955,176543
500000,73000000000 ,2884915,35559
500000,72000000000 ,4471069,176411
500000,74370000000 ,10281460,238663
500000,90000000000 ,8559531,176891
500000,131000000000 ,5972466,176583
500000,126250000000 ,10070600,176379
500000,134000000000 ,3340339,176379
500000,137700000000 ,4789700,176967
500000,137000000000 ,8334712,176319
500000,139000000000 ,6255702,176403
500000,128700000000 ,11220410,176535
500000,125000000000 ,5295934,35733
500000,121000000000 ,7495734,176847
500000,125000000000 ,6564723,176367
500000,121000000000 ,4144226,176523
500000,120000000000 ,2870000,174808
500000,105000000000 ,10974094,176367
500000,99000001459 ,5315701,177059
500000,100000000000 ,7160952,176799
500000,93600000000 ,12825339,176819
500000,92400000000 ,2490631,176579
500000,88550000000 ,12458135,176411
500000,88550000000 ,7808360,36195
500000,84000000000 ,2987255,176555
500000,83000000000 ,5149992,176615
500000,81400000000 ,7440233,176543
500000,81000000000 ,11955405,176591
500000,77000000000 ,5826664,176363
500000,77000000000 ,1616804,176531
500000,72600000000 ,12161398,168836
500000,78400001750 ,13581366,176399
500000,81000001459 ,1941129,176387
500000,76000000000 ,5304357,176339
500000,68000000000 ,4924530,36183
500000,66000000000 ,2244625,176591
500000,67500000000 ,2376057,176531
500000,64000001459 ,6757235,176207
500000,68880002042 ,4414259,176195
500000,68000000000 ,2566905,238651
500000,65000000000 ,10005047,176387
500000,55000000000 ,11671526,176423
500000,53300000000 ,4087046,231314
500000,46000000000 ,1603124,176531
500000,59000000000 ,5153007,239047
500000,59000000000 ,4705911,176591
500000,59000000000 ,2162239,175835
500000,61490000000 ,522932,176375
500000,59000000000 ,8382230,174839
500000,59000000000 ,11206487,176579
500000,62350000000 ,2043052,176903
500000,59000000000 ,12941075,176603
500000,59000000000 ,12889785,176915
500000,67375000000 ,1499317,176387
500000,53000000000 ,1617849,176219
500000,55000000001 ,4314226,176375
500000,52000000000 ,14651546,176531
500000,52000000000 ,4691043,176423
500000,51000000000 ,11654068,176351
500000,47300000000 ,3888537,176363
500000,44000000000 ,1076343,176255
500000,43750000000 ,11991428,176423
500000,42550000000 ,9093323,176387
500000,51000000000 ,2191610,238699
500000,63724375000 ,880796,238759
500000,49000000000 ,9292480,176399
500000,51000000000 ,8765477,172365
500000,52000000000 ,2366272,176879
500000,50000000000 ,11207056,174887
500000,57000000000 ,5447342,238699
500000,57000000000 ,2324985,176819
500000,59940000000 ,7775024,176615
500000,59000000000 ,8625170,176411
500000,57000000000 ,13541710,176843
500000,57000000000 ,3395844,176399
500000,58000000000 ,5983945,176399
500000,54000000000 ,9265513,175835
500000,54000000000 ,3390062,176183
500000,54000000000 ,12301743,175464
500000,55000000000 ,6105822,239047
500000,56000000000 ,3661586,176579
500000,60000000000 ,13137459,176915
500000,62000000000 ,4758895,176579
500000,62000000000 ,10641544,176159
500000,62000000000 ,13685176,176387
500000,62000000000 ,6346337,176579
500000,62000000000 ,4384930,176195
500000,62500000000 ,5313976,176819
500000,61000000000 ,11524667,176351
500000,61000000000 ,4285856,171873
500000,61000000000 ,6939180,174863
500000,61000000000 ,2818767,176363
500000,60000000000 ,8370509,176411
500000,60000000000 ,2516690,176387
500000,61000000000 ,370653,176399
500000,61000000000 ,5119942,176411
500000,62000000000 ,3789850,238747
500000,67500001823 ,4550664,175043
500000,74000000000 ,7519957,176423
500000,74000000000 ,3645962,174887
500000,74000000000 ,11432723,176363
500000,70564000000 ,7365109,176555
500000,74000000000 ,6034192,176387
500000,74000000000 ,1785689,177107
500000,73000000000 ,10677129,35323
500000,73000000000 ,608591,175823
500000,69000000000 ,406335,176975
500000,68000000000 ,9546241,238711
500000,66000000000 ,3387256,176363
500000,69000000000 ,12656193,176423
500000,72000000000 ,4614589,176399
500000,71000000000 ,4975498,176375
500000,69000000000 ,3328016,176567
500000,69000000000 ,7381764,176435
500000,69000000000 ,3936791,176387
500000,74000000000 ,12659234,177095
500000,75000000000 ,2292096,176411
500000,83000000000 ,5381921,175475
500000,99000000000 ,5877051,176399
500000,99000000000 ,7965379,176435
500000,97000000000 ,13529829,35943
500000,115000000000 ,4793894,176367
500000,110206800000 ,3579193,234128
500000,107000000000 ,5746589,176439
500000,106000000000 ,6049805,176307
500000,104000000001 ,12480439,176847
500000,105000000000 ,11787676,176163
500000,104000000000 ,197367,176367
500000,108000000000 ,10269463,176583
500000,101850000000 ,5305106,176343
500000,104650000000 ,4775515,176559
500000,108100000000 ,10736370,170798
500000,98000000000 ,506919,176579
500000,98000000000 ,10541499,174923
500000,94000000000 ,4396385,175355
500000,94000000000 ,8088161,173350
500000,88000000000 ,4160699,175067
500000,84000000000 ,8811784,174863
500000,84000000000 ,2102245,174839
500000,84000000000 ,5306250,176375
500000,84000000000 ,5108875,174875
500000,77000000000 ,11048464,176219
500000,79000000000 ,3700986,176423
500000,77000000000 ,7680365,176207
500000,76000000000 ,5075856,176615
500000,74000000000 ,12608813,176387
500000,77500000000 ,10629870,176579
500000,85000000000 ,2638636,176615
500000,84500000000 ,3063899,177011
500000,88000000000 ,6232506,176183
500000,100163250000 ,3940641,176847
500000,116000000000 ,6361354,172287
500000,120000000000 ,3329173,176319
500000,124000000000 ,8119224,176343
500000,126000000000 ,4922835,36351
500000,118000000000 ,8783070,177039
500000,104000000000 ,6565777,176379
500000,104000000000 ,1014728,176883
500000,98000000000 ,11611779,176891
500000,95000000000 ,5185949,176495
500000,93500000000 ,13838461,176219
500000,90000000000 ,4402554,152852
500000,90000000000 ,6396169,176519
500000,93000000000 ,966197,176675
500000,95000000000 ,2732042,176411
500000,90000000000 ,2461667,176363
500000,90000000000 ,12778283,176207
500000,89000000000 ,3497594,176531
500000,89910000000 ,1117425,174875
500000,90000000000 ,9393099,176519
500000,92400000000 ,8726079,175823
500000,89000000000 ,1837035,176591
500000,86000000000 ,1120871,176579
500000,84000000000 ,12757778,171945
500000,82000000000 ,3840658,238747
500000,75000000000 ,4573407,176375
500000,74100000000 ,6682234,176195
500000,74100000000 ,6857325,175091
500000,72800000000 ,7245940,176555
500000,61000000000 ,7647491,177059
500000,59000000000 ,9164061,176399
500000,55200001678 ,11774125,176819
500000,51000000000 ,9110148,176363
500000,50875000000 ,7592806,176903
500000,57500000000 ,7227606,176627
500000,50600000000 ,8635258,238699
500000,55000000000 ,2855346,176231
500000,54000000000 ,8762573,176831
500000,53000000000 ,4770093,176399
500000,52000000000 ,10328875,176399
500000,54000000000 ,6632643,176375
500000,57000000000 ,4513763,176435
500000,56000000000 ,6897759,176867
500000,57000000000 ,4147607,176399
500000,50000000000 ,11513071,176399
500000,51750000000 ,4189079,176615
500000,54000000000 ,2362048,176915
500000,47000000000 ,2711244,176411
500000,50000000000 ,3004758,174863
500000,49000000000 ,3301141,176375
500000,50000000000 ,2332216,175355
500000,50000000000 ,8317886,174887
500000,50000000000 ,4233715,176411
500000,49000000000 ,6938161,176423
500000,47000000000 ,2907378,174851
500000,54000000000 ,3005040,175067
500000,46000000000 ,6878525,239107
500000,47000000000 ,10534380,176543
500000,46000000000 ,4236411,176411
500000,51000000000 ,3539557,176603
500000,50000000000 ,3498285,176387
500000,67000000000 ,7857832,176615
500000,73750000000 ,6277501,176831
500000,71000000000 ,9911661,176399
500000,71000000000 ,9477431,174875
500000,73000000000 ,1361726,176387
500000,72000000000 ,10584344,175043
500000,72000000000 ,6024886,176447
500000,72000000000 ,1575822,36087
500000,72000000000 ,1324816,176387
500000,72000000000 ,3042003,176351
500000,72000000000 ,6922571,239047
500000,70000000000 ,13144965,176819
500000,71000000000 ,4314163,171837
500000,71000000000 ,4490742,176579
500000,70200000000 ,7306913,176591
500000,65000000000 ,12181771,175079
500000,70000000000 ,7319144,176231
500000,70000000000 ,3211896,176411
500000,70000000000 ,2793001,175787
500000,77536250804 ,9658529,176591
500000,86000000000 ,14505353,176399
500000,84000000000 ,7249161,176387
500000,80000000000 ,6871244,35907
500000,77000000000 ,7076453,176759
500000,78750000000 ,3478021,176987
500000,81000000000 ,8016932,239011
500000,80000000000 ,11516980,176543
500000,86000000000 ,4694213,176855
500000,88000000000 ,1020583,175811
500000,84000000000 ,3919538,176399
500000,84000000000 ,2587347,174911
500000,82000000000 ,8283210,175775
500000,83000000000 ,872602,176459
500000,85000000000 ,3071894,176603
500000,88000000000 ,3533377,168992
500000,82000000000 ,465932,177131
500000,80000000000 ,1286140,173542
500000,81000000000 ,10457658,176603
500000,76000000000 ,3537046,175067
500000,75480000000 ,998214,176411
500000,75000000000 ,14242814,35915
500000,74000000000 ,3533814,176579
500000,73000000000 ,5587689,176579
500000,81000000000 ,4824094,176423
500000,89000000000 ,1440275,176843
500000,96400000000 ,5567331,176507
500000,107500000000 ,6830390,176223
500000,118000000000 ,10089081,173366
500000,118000000000 ,10550871,176211
500000,109000000000 ,1250967,35963
500000,115000000000 ,5924127,176787
500000,116250000000 ,995072,176427
500000,107800000000 ,7938896,176391
500000,107800000000 ,8114183,175287
500000,102000000000 ,4629351,176823
500000,99000000000 ,10797069,176243
500000,93000000000 ,13236323,36111
500000,84959125000 ,5318967,176879
500000,83950000000 ,3483814,176387
500000,89000000000 ,7627202,176363
500000,81000001459 ,11613107,176399
500000,80000000000 ,6282480,176543
500000,80000000000 ,1761168,176411
500000,80000000000 ,3569386,149827
500000,79000000000 ,4792740,149827
500000,77000000000 ,11785839,238699
500000,141000000000 ,1398136,176487
500000,201500000000 ,1648403,238667
500000,200000000000 ,2827892,176991
500000,219450001913 ,678185,176571
500000,250000000000 ,854732,176547
500000,219450001913 ,613711,36121
500000,193750000000 ,1553756,36171
500000,219450001913 ,1730579,176823
500000,48000000000 ,3846684,176831
500000,51000000000 ,8585133,171815
500000,52000000000 ,3594068,176819
500000,52000000000 ,6246771,176399
500000,52000000000 ,4179265,36255
500000,52000000000 ,5437634,176867
500000,51000000000 ,12946181,176423
500000,51000000000 ,12211233,173782
500000,52900000000 ,12817223,176423
500000,46000001561 ,14438813,238759
500000,44000000000 ,7438021,32824
500000,43750000000 ,1110560,176891
500000,39000000000 ,13463026,176447
500000,39000000000 ,9354850,176603
500000,44850000000 ,3636355,176615
500000,43700000000 ,5629585,176399
500000,41000000000 ,5825954,176843
500000,41000000000 ,10487737,176879
500000,42000000000 ,11289117,176207
500000,42000000000 ,4610187,176399
500000,44000000000 ,7636325,170348
500000,39000000000 ,11070637,176399
500000,43000000000 ,10189102,176855
500000,46000000000 ,4762044,176195
500000,45000000000 ,4366406,176351
500000,45000000000 ,2904533,231134
500000,45500000000 ,4957152,176459
500000,50000000000 ,5716208,168741
500000,44827514596 ,2770330,172221
500000,40000000000 ,10889458,176219
500000,40000000000 ,10292329,174899
500000,50000000000 ,9204358,176603
500000,37000000000 ,7199534,238675
500000,41000000000 ,809203,176579
500000,39000000000 ,6213285,173422
500000,38000000000 ,8202733,176447
500000,42000000000 ,3829297,176399
500000,42000000000 ,7985181,177035
500000,42000000000 ,14048037,176387
500000,41600000000 ,6114551,239035
500000,42000000000 ,3277730,171981
500000,43750000000 ,1070094,175055
500000,44000000000 ,1161986,176399
500000,48000000000 ,4284521,176399
500000,46350000000 ,7655466,176375
500000,51000000000 ,7536884,238735
500000,52500000000 ,4811784,175799
500000,50000000000 ,5082221,176435
500000,54000000000 ,3324157,176423
500000,57200000000 ,3301377,176399
500000,52100000000 ,9885797,176855
500000,58000000000 ,1489615,176855
500000,58000000000 ,5423381,238687
500000,58000000000 ,6292323,176231
500000,58000000000 ,9685016,176351
500000,59940000000 ,4138166,177023
500000,58000000000 ,14038774,176807
500000,59000000000 ,12994897,176423
500000,59000000000 ,919891,175415
500000,58000000000 ,3710557,36327
500000,71875000001 ,369655,175319
500000,55000000000 ,12141777,36147
500000,56869540027 ,5878901,176411
500000,62000000000 ,4806493,176579
500000,66000000000 ,6482390,238735
500000,59610000000 ,3309828,235661
500000,69000000000 ,3620285,175463
500000,68000000000 ,4822499,176375
500000,72000000000 ,6879362,176579
500000,69000000000 ,2935474,176387
500000,69000000000 ,5786042,176423
500000,67365000000 ,2741597,176435
500000,61000000000 ,7703889,176603
500000,60000000000 ,8211897,176387
500000,83000000000 ,1368623,177083
500000,80313750000 ,4686237,172053
500000,81000000000 ,7961477,170312
500000,79200000000 ,7773269,176819
500000,78000000000 ,1885876,176879
500000,67000000000 ,14123318,176363
500000,66000000000 ,7874104,176375
500000,65000000000 ,6342198,175607
500000,65000001823 ,4012735,176411
500000,62000000000 ,9154910,176831
500000,62000000000 ,5557454,176459
500000,59850000000 ,9696676,176411
500000,76000000000 ,2415703,173806
500000,93000000000 ,6346994,176891
500000,97000000000 ,5103691,176843
500000,94500000000 ,2954790,176339
500000,96000000000 ,5037707,176879
500000,96807529396 ,1678464,176819
500000,99094494991 ,4071620,234184
500000,96600000000 ,1837441,174887
500000,99000000000 ,2464591,173734
500000,99000000000 ,2290857,176207
500000,93000000000 ,4037998,36171
500000,101000000000 ,6144115,175299
500000,101000000000 ,729366,36123
500000,101010000000 ,4614416,176355
500000,101000000000 ,6445358,176799
500000,101000000000 ,3342267,176823
500000,98000000000 ,5330801,176387
500000,100000000000 ,12507838,176163
500000,100000000000 ,11857164,238691
500000,101000000000 ,8386055,176391
500000,134000000000 ,8972738,176547
500000,132000000000 ,2704355,176379
500000,132250000000 ,9111606,173354
500000,128000000000 ,8859954,176511
500000,127000000000 ,11679061,176403
500000,126000000000 ,14513925,176415
500000,168300000000 ,3489512,176379
500000,165000000000 ,5062864,175839
500000,184800000000 ,5889001,176355
500000,185123136000 ,5241631,176823
500000,184000000000 ,10065258,174831
500000,176000000000 ,13567872,175311
500000,175000000000 ,14024261,176355
500000,170500000000 ,5781859,175023
500000,171000000000 ,9438450,176367
500000,171600000000 ,14653874,176823
500000,163000000000 ,10729044,176835
500000,161000000000 ,2121852,175251
500000,161000000000 ,5467555,176331
500000,156000000000 ,8562381,174819
500000,156000000000 ,8738724,176343
500000,195000000000 ,1431660,176367
500000,195000000000 ,3990595,176859
500000,186875000000 ,4151517,36147
500000,182500000000 ,4651189,175407
500000,180001600001 ,5227868,176559
500000,129000000000 ,8805446,176391
500000,129000001561 ,7706854,176559
500000,130000000000 ,9819228,176847
500000,161652638921 ,1934477,35919
500000,125000000000 ,6303894,176847
500000,116000000000 ,9521223,151344
500000,117000000000 ,9258769,176559
500000,100000000000 ,2942771,176391
500000,100000000000 ,351304,176571
500000,100000000000 ,887284,177075
500000,100000000000 ,12766517,36579
500000,88000000000 ,4966537,175067
500000,90000000000 ,11968347,174947
500000,83000000000 ,4532789,174731
500000,82000000001 ,3949776,176567
500000,79000000000 ,9549769,176351
500000,80300000000 ,9726156,176387
500000,76000000000 ,4385948,36183
500000,74000000000 ,9823648,175067
500000,73000000000 ,11040040,175067
500000,73427500000 ,6546425,175943
500000,70000000000 ,10212100,175079
500000,70000000000 ,2476445,176591
500000,70000000000 ,9472455,176819
500000,69000000000 ,4602049,176387
500000,63000000000 ,4113018,176351
500000,63000000000 ,8560557,176867
500000,63000000000 ,7841506,176543
